Rule ID,Resource ID,Compliance,Exception Reason,Rule Level,Rule Info
"AwsSolutions-IAM4","synchronous-athena-query/SynchronousAthenaQueryTes/athenaQueryStartFn/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/athenaQueryStartFn/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/athenaQueryStartFn/ServiceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","synchronous-athena-query/SynchronousAthenaQueryTes/athenaQueryStartWaitFn/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/athenaQueryStartWaitFn/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/athenaQueryStartWaitFn/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-onEvent/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-onEvent/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-onEvent/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-isComplete/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-isComplete/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-isComplete/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-onTimeout/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-onTimeout/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/framework-onTimeout/ServiceRole/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/waiter-state-machine/Role/Resource","Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/waiter-state-machine/Role/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","synchronous-athena-query/SynchronousAthenaQueryTes/synchronousAthenaQueryCRP/waiter-state-machine/Role/DefaultPolicy/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM4","synchronous-athena-query/LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/Resource","Non-Compliant","N/A","Error","The IAM user, role, or group uses AWS managed policies."
"AwsSolutions-IAM5","synchronous-athena-query/LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/Resource","Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
"AwsSolutions-IAM5","synchronous-athena-query/LogRetentionaae0aa3c5b4d4f87b02d85b201efdd8a/ServiceRole/DefaultPolicy/Resource","Non-Compliant","N/A","Error","The IAM entity contains wildcard permissions and does not have a cdk_nag rule suppression with evidence for those permission."
